,artist_name,album_name,release_date,total_tracks
1,Little Richard,Masterpieces (Live),2021-05-26,20
2,Little Richard,Masterpieces: Gospel Songs,2021-05-26,9
3,Masayoshi Takanaka,Little Richard Meets Takanaka,1992-08-05,10
4,Little Richard,Lifetime Friend,1986,10
5,Little Richard,The Essential Little Richard,1985-01-01,20
6,Little Richard,Little Richard: The Georgia Peach,1980-01-01,25
7,Little Richard,Right Now!,1973-03-01,8
8,Little Richard,The Second Coming,1972,9
9,Little Richard,Cast A Long Shadow,1971-07-01,22
10,Little Richard,King Of Rock And Roll,1971,11
11,Little Richard,The Rill Thing,1970,9
12,Little Richard,Good Golly!,1969-01-01,10
13,Little Richard,The Explosive Little Richard,1967-01-01,10
14,Little Richard,Get Down With It!: The Okeh Sessions,1966,17
16,Little Richard,Little Richard Is Back (And There'S A Whole Lotta Shakin' Goin' On!),1964-08,14
17,Little Richard,The King Of The Gospel Singers,1961-03-12,12
18,Little Richard,Here'S Little Richard (Deluxe Edition),1957-03,34
19,Little Richard,Tutti Frutti,2023-05-02,2
0,Fats Domino,Long Live Rock & Roll,2022-12-05,10
1,Jerry Lee Lewis,Jerry Lee Lewis - Sie Nannten Ihn The Killer (Biografie),2022-10-21,22
2,Jerry Lee Lewis,The Killer Keys Of Jerry Lee Lewis (Sun Records 70Th / Remastered 2022),2022-09-23,14
3,Jerry Lee Lewis,The Complete Jerry Lee Lewis On Sun,2022-08-05,149
4,Jerry Lee Lewis,Masterpieces (Live),2021-05-27,33
5,Jerry Lee Lewis,Hit Collection,2021-01-21,60
